"word","n","relative_frequency"
"cortesía",46,0.000118939883645766
"darme",46,0.000118939883645766
"dueño",46,0.000118939883645766
"entiendo",46,0.000118939883645766
"estremo",46,0.000118939883645766
"imaginación",46,0.000118939883645766
"llegado",46,0.000118939883645766
"mirad",46,0.000118939883645766
"primo",46,0.000118939883645766
"quieren",46,0.000118939883645766
"sabio",46,0.000118939883645766
"sueño",46,0.000118939883645766
"tarde",46,0.000118939883645766
"venido",46,0.000118939883645766
"viento",46,0.000118939883645766
"cuál",45,0.000116354234001293
"escudos",45,0.000116354234001293
"esperanza",45,0.000116354234001293
"favor",45,0.000116354234001293
"gloria",45,0.000116354234001293
"horas",45,0.000116354234001293
"instante",45,0.000116354234001293
"mesa",45,0.000116354234001293
"peor",45,0.000116354234001293
"pudiese",45,0.000116354234001293
"rodríguez",45,0.000116354234001293
"work",45,0.000116354234001293
"árboles",45,0.000116354234001293
"anda",44,0.00011376858435682
"arriba",44,0.00011376858435682
"basta",44,0.00011376858435682
"belleza",44,0.00011376858435682
"buscando",44,0.00011376858435682
"capitán",44,0.00011376858435682
"corte",44,0.00011376858435682
"desdichado",44,0.00011376858435682
"guerra",44,0.00011376858435682
"hechos",44,0.00011376858435682
"honestidad",44,0.00011376858435682
"largo",44,0.00011376858435682
"leonela",44,0.00011376858435682
"llevaba",44,0.00011376858435682
"mono",44,0.00011376858435682
"pasaron",44,0.00011376858435682
"vamos",44,0.00011376858435682
"vivo",44,0.00011376858435682
"adónde",43,0.000111182934712346
"clara",43,0.000111182934712346
"contado",43,0.000111182934712346
"diego",43,0.000111182934712346
"primer",43,0.000111182934712346
"quedar",43,0.000111182934712346
"subir",43,0.000111182934712346
"tiempos",43,0.000111182934712346
"vaya",43,0.000111182934712346
"verá",43,0.000111182934712346
"alto",42,0.000108597285067873
"doce",42,0.000108597285067873
"fuerte",42,0.000108597285067873
"imposible",42,0.000108597285067873
"jardín",42,0.000108597285067873
"linaje",42,0.000108597285067873
"llamado",42,0.000108597285067873
"llevó",42,0.000108597285067873
"mejores",42,0.000108597285067873
"oyeron",42,0.000108597285067873
"venganza",42,0.000108597285067873
"éstos",42,0.000108597285067873
"abajo",41,0.0001060116354234
"agravio",41,0.0001060116354234
"alcanzar",41,0.0001060116354234
"amistad",41,0.0001060116354234
"armado",41,0.0001060116354234
"duques",41,0.0001060116354234
"escribir",41,0.0001060116354234
"lleva",41,0.0001060116354234
"luna",41,0.0001060116354234
"malos",41,0.0001060116354234
"pastores",41,0.0001060116354234
"pedir",41,0.0001060116354234
"seguro",41,0.0001060116354234
"señas",41,0.0001060116354234
"siglos",41,0.0001060116354234
"tornó",41,0.0001060116354234
"traje",41,0.0001060116354234
"viaje",41,0.0001060116354234
"admiración",40,0.000103425985778927
"alegre",40,0.000103425985778927
"alzó",40,0.000103425985778927
"cama",40,0.000103425985778927
"canónigo",40,0.000103425985778927
"contrario",40,0.000103425985778927
"costumbre",40,0.000103425985778927
"deja",40,0.000103425985778927
"discreta",40,0.000103425985778927
"hallaron",40,0.000103425985778927
"hiciese",40,0.000103425985778927
"leyes",40,0.000103425985778927
"oidor",40,0.000103425985778927
"papel",40,0.000103425985778927
"quiteria",40,0.000103425985778927
"veras",40,0.000103425985778927
"verse",40,0.000103425985778927
"vienen",40,0.000103425985778927
"yelmo",40,0.000103425985778927
"conciencia",39,0.000100840336134454
"dama",39,0.000100840336134454
"dientes",39,0.000100840336134454
"leguas",39,0.000100840336134454
"mentira",39,0.000100840336134454
"pide",39,0.000100840336134454
"podían",39,0.000100840336134454
"rodillas",39,0.000100840336134454
"señales",39,0.000100840336134454
"barba",38,9.82546864899806e-05
"caminos",38,9.82546864899806e-05
"cide",38,9.82546864899806e-05
"conozco",38,9.82546864899806e-05
"dicha",38,9.82546864899806e-05
"diligencia",38,9.82546864899806e-05
"dime",38,9.82546864899806e-05
"dinero",38,9.82546864899806e-05
"donaire",38,9.82546864899806e-05
"díjole",38,9.82546864899806e-05
"grado",38,9.82546864899806e-05
"hará",38,9.82546864899806e-05
"juan",38,9.82546864899806e-05
"levantó",38,9.82546864899806e-05
"luis",38,9.82546864899806e-05
"mayordomo",38,9.82546864899806e-05
"mire",38,9.82546864899806e-05
